month,year,month-year,italy_all,greece_all,greece_sea,greece_land,spain_all,spain_land,spain_sea,cyprus_all,malta_all
1,2014,Jan-2014,2171,955,955,0,574,NA,NA,NA,0
2,2014,Feb-2014,3335,1001,1001,0,704,NA,NA,NA,0
3,2014,Mar-2014,5459,1501,1501,0,1329,NA,NA,NA,91
4,2014,Apr-2014,15679,1257,1257,0,781,NA,NA,NA,0
5,2014,May-2014,14599,1703,1703,0,1358,NA,NA,NA,0
6,2014,Jun-2014,22641,3198,3198,0,521,NA,NA,NA,136
7,2014,Jul-2014,24031,3927,3927,0,592,NA,NA,NA,81
8,2014,Aug-2014,24774,6742,6742,0,2288,NA,NA,NA,257
9,2014,Sep-2014,26107,7454,7454,0,1003,NA,NA,NA,3
10,2014,Oct-2014,15277,7432,7432,0,984,NA,NA,NA,0
11,2014,Nov-2014,9295,3812,3812,0,807,NA,NA,NA,0
12,2014,Dec-2014,6732,2056,2056,0,1096,NA,NA,NA,0
1,2015,Jan-2015,3528,1694,1694,0,1604,NA,NA,NA,87
2,2015,Feb-2015,4354,2873,2873,0,673,NA,NA,NA,0
3,2015,Mar-2015,2283,7874,7874,0,1117,NA,NA,NA,0
4,2015,Apr-2015,16063,13556,13556,0,1442,NA,NA,NA,5
5,2015,May-2015,21235,17889,17889,0,1435,NA,NA,NA,0
6,2015,Jun-2015,22891,31318,31318,0,1402,NA,NA,NA,2
7,2015,Jul-2015,23186,54899,54899,0,1293,NA,NA,NA,2
8,2015,Aug-2015,22609,107843,107843,0,1332,NA,NA,NA,2
9,2015,Sep-2015,15922,147123,147123,0,1722,NA,NA,NA,7
10,2015,Oct-2015,8916,211663,211663,0,2227,NA,NA,NA,0
11,2015,Nov-2015,3218,151249,151249,0,1564,NA,NA,NA,0
12,2015,Dec-2015,9637,108742,108742,0,1125,NA,NA,NA,0
1,2016,Jan-2016,5273,67415,67415,0,1010,NA,NA,NA,0
2,2016,Feb-2016,3828,57066,57066,0,515,NA,NA,NA,0
3,2016,Mar-2016,9676,26971,26971,0,626,NA,NA,3,0
4,2016,Apr-2016,9149,3650,3650,0,930,NA,NA,4,0
5,2016,May-2016,19957,1721,1721,0,947,NA,NA,5,0
6,2016,Jun-2016,22339,1554,1554,0,1087,NA,NA,NA,0
7,2016,Jul-2016,23552,1920,1920,0,803,NA,NA,NA,NA
8,2016,Aug-2016,21294,3447,3447,0,1589,NA,NA,NA,NA
9,2016,Sep-2016,16975,3080,3080,0,1973,NA,NA,55,NA
10,2016,Oct-2016,27384,2970,2970,0,2032,NA,NA,83,NA
11,2016,Nov-2016,13581,1991,1991,0,1435,NA,NA,154,NA
12,2016,Dec-2016,8428,1665,1665,0,1658,NA,NA,27,NA
1,2017,Jan-2017,4467,1393,1393,0,1380,331,1049,NA,NA
2,2017,Feb-2017,8972,1089,1089,0,1736,1201,535,105,NA
3,2017,Mar-2017,10853,1526,1526,0,1197,355,842,157,NA
4,2017,Apr-2017,12943,1156,1156,0,1198,298,900,25,NA
5,2017,May-2017,22993,2110,2110,0,1308,473,835,0,NA
6,2017,Jun-2017,23524,2012,2012,0,2682,332,2350,0,NA
7,2017,Jul-2017,11461,2249,2249,0,2585,423,2162,228,NA
8,2017,Aug-2017,3914,3584,3584,0,3100,845,2255,12,NA
9,2017,Sep-2017,6291,4886,4886,0,2039,524,1515,306,NA
10,2017,Oct-2017,5979,4134,4134,0,4099,485,3614,38,NA
11,2017,Nov-2017,5645,3215,3215,0,4679,514,4165,191,NA
12,2017,Dec-2017,2327,2364,2364,0,2373,465,1908,49,NA
1,2018,Jan-2018,4182,2164,1633,531,2182,782,1400,0,1
2,2018,Feb-2018,1065,1800,1256,544,1518,416,1102,12,NA
3,2018,Mar-2018,1049,3944,2441,1503,1300,417,883,NA,2
4,2018,Apr-2018,3171,6854,3032,3822,1690,448,1242,NA,NA
5,2018,May-2018,3963,4734,2916,1818,3937,414,3523,NA,1
6,2018,Jun-2018,3147,3665,2439,1226,7313,397,6916,61,239
7,2018,Jul-2018,1969,4144,2545,1599,9717,1085,8632,NA,28
8,2018,Aug-2018,1531,4320,3197,1123,7022,616,6406,103,449
9,2018,Sep-2018,947,5662,3960,1702,8568,454,8114,216,58
10,2018,Oct-2018,1007,6048,4073,1975,10912,669,10243,67,255
11,2018,Nov-2018,980,3203,2075,1128,5666,644,5022,83,149
12,2018,Dec-2018,359,3970,2927,1043,5558,472,5086,224,263
1,2019,Jan-2019,202,2652,1851,801,4612,508,4104,83,50
2,2019,Feb-2019,60,2316,1486,830,1366,430,936,136,0
3,2019,Mar-2019,262,3159,1904,1255,995,426,569,174,188
4,2019,Apr-2019,255,3020,1856,1164,1539,432,1107,213,64
5,2019,May-2019,782,3198,2651,547,1928,613,1315,63,376
6,2019,Jun-2019,1218,4059,3122,937,2823,379,2444,32,599
7,2019,Jul-2019,1088,5842,5008,834,3434,538,2896,67,307
8,2019,Aug-2019,1268,9334,7712,1622,2854,542,2312,89,662
9,2019,Sep-2019,2499,12530,10551,1979,3794,674,3120,326,492
10,2019,Oct-2019,2016,10983,8996,1987,4020,511,3509,NA,NA
11,2019,Nov-2019,915,5097,4301,796,512,293,219,NA,NA
