Web.ID,Region.of.Incident,Reported.Date,Reported.Year,Reported.Month,Number.Dead,Minimum.Estimated.Number.of.Missing,Total.Dead.and.Missing,Number.of.Survivors,Number.of.Females,Number.of.Males,Number.of.Children,Cause.of.Death,Land.or.Sea,Location.Description,Information.Source,Location.Coordinates,Migration.Route,URL,UNSD.Geographical.Grouping,Source.Quality,Cause.of.Death.Brief,Year.Month,Month.Year
40669,Europe,2015-06-18,2015,Jun,1,0,1,,,1,,Plane stowaway,land,"Heathrow Airport, UK",The Guardian,"51.471150000000, -0.456487000000",Airplane,"http://bit.ly/1Rgw7b9, http://bit.ly/1Bs6I7M",Northern Europe,3,Plane stowaway,2015-06,06/15
40670,Europe,2015-09-12,2015,Sep,1,0,1,,,,,Plane stowaway,land,"Schiphol airport, Amsterdam. Plane departed from Nairobi, Kenya.",Reuters,"52.310538600000, 4.768274400000",Airplane,http://reut.rs/1K63owH,Western Europe,1,Plane stowaway,2015-09,09/15
42849,Europe,2016-01-10,2016,Jan,1,0,1,,,1,,Plane stowaway,land,"Found at Orly Airport, France. Was on flight from Brazil that landed in Charles de Gaulle on the 10th of January.",Daily Mail,"48.726243300000, 2.363058500000",Airplane,http://dailym.ai/1T7zAIQ,Western Europe,1,Plane stowaway,2016-01,01/16
42545,Europe,2016-06-07,2016,Jun,1,0,1,,,1,,Plane stowaway,land,"Found in Brussels Airport, on Brussels Airways flight from Dakar, Senegal",Medias de Bruxelles,"50.900457900000, 4.480999900000",Airplane,http://bit.ly/28mVQoU,Western Europe,1,Plane stowaway,2016-06,06/16
51816,Europe,2019-06-30,2019,Jun,1,0,1,,,1,,Plane stowaway,land,"Garden in Offerton Road, Clapham, London, UK - fell from landing gear of an inbound Kenya Airways flight to Heathrow Airport","Metropolitan Police, The New York Times","51.463784260180, -0.157933543286",Airplane,"http://bit.ly/2KQlWh7, https://bbc.in/2J91tC4, https://nyti.ms/2xrzMOe",Western Europe,5,Plane stowaway,2019-06,06/19
39438,Europe,2014-11-19,2014,Nov,2,0,2,,,,,Burned,land,"Dunkirk, Loon-Plague port",Daily Mail,"50.996600000000, 2.257400000000",Calais to United Kingdom,http://dailym.ai/1r4Egyr,Western Europe,1,Burned,2014-11,11/14
42738,Europe,2016-10-18,2016,Oct,1,0,1,,,1,,Crushed in back of truck,land,"A20 Highway, near Sellindge, Kent, UK",International Business Times,"51.101895200000, 0.983391600000",Calais to United Kingdom,"http://bit.ly/2et7OHf, http://bit.ly/2qtNbAv",Northern Europe,3,Transportation accident,2016-10,10/16
40287,Europe,2015-09-29,2015,Sep,1,0,1,,,1,,Crushed in back of truck,land,"In a truck in Calais port, France",BBC,"50.951300000000, 1.858690000000",Calais to United Kingdom,http://bbc.in/1RfPDkT,Western Europe,1,Transportation accident,2015-09,09/15
40613,Europe,2015-12-28,2015,Dec,1,0,1,,,,,Crushed in back of truck,land,"Motorway near Dunkirque, France",El Siglo de Torreon,"51.016352000000, 2.399438000000",Calais to United Kingdom,"http://bit.ly/24taPcp, http://rfi.my/1U8IQMm",Western Europe,3,Transportation accident,2015-12,12/15
44068,Europe,2017-12-29,2017,Dec,1,0,1,,,1,,Crushed in back of truck,land,"Calais Port, France",The Local,"50.934076500000, 1.910214900000",Calais to United Kingdom,"http://bit.ly/2Duroy8, http://bit.ly/2D7Blmc",Western Europe,3,Transportation accident,2017-12,12/17
