Migration.Route,Year.Month,incidents,dead,missing,total_dead_missing,arrivals,Year,Month,total_attempted,mortality
Central Mediterranean,2014-01,0,0,0,0,2171,2014,01,2171,0
Central Mediterranean,2014-02,2,9,0,9,3335,2014,02,3344,2.69138755980861
Central Mediterranean,2014-03,1,1,0,1,5550,2014,03,5551,0.180147721131328
Central Mediterranean,2014-04,3,9,41,50,15679,2014,04,15729,3.17884163010999
Central Mediterranean,2014-05,6,89,240,329,14599,2014,05,14928,22.0391211146838
Central Mediterranean,2014-06,8,68,246,314,22777,2014,06,23091,13.5983716599541
Central Mediterranean,2014-07,13,100,739,839,24112,2014,07,24951,33.6259067772835
Central Mediterranean,2014-08,7,257,359,616,25031,2014,08,25647,24.0184037119351
Central Mediterranean,2014-09,5,100,713,813,26110,2014,09,26923,30.1972291349404
Central Mediterranean,2014-10,3,13,105,118,15277,2014,10,15395,7.66482624228646
Central Mediterranean,2014-11,2,0,18,18,9295,2014,11,9313,1.93278213250295
Central Mediterranean,2014-12,5,26,32,58,6732,2014,12,6790,8.5419734904271
Central Mediterranean,2015-01,3,11,56,67,3615,2015,01,3682,18.1966322650733
Central Mediterranean,2015-02,2,29,307,336,4354,2015,02,4690,71.6417910447761
Central Mediterranean,2015-03,2,13,40,53,2283,2015,03,2336,22.6883561643836
Central Mediterranean,2015-04,8,764,716,1480,16068,2015,04,17548,84.340095737406
Central Mediterranean,2015-05,7,46,49,95,21235,2015,05,21330,4.45382090951711
Central Mediterranean,2015-06,3,5,0,5,22893,2015,06,22898,0.218359682068303
Central Mediterranean,2015-07,7,206,0,206,23188,2015,07,23394,8.80567666923143
Central Mediterranean,2015-08,16,296,356,652,22611,2015,08,23263,28.0273395520784
Central Mediterranean,2015-09,5,13,63,76,15929,2015,09,16005,4.74851608872227
Central Mediterranean,2015-10,6,163,0,163,8916,2015,10,9079,17.9535191100341
Central Mediterranean,2015-11,1,8,0,8,3218,2015,11,3226,2.47985120892746
Central Mediterranean,2015-12,3,9,0,9,9637,2015,12,9646,0.933029234916027
Central Mediterranean,2016-01,6,11,80,91,5273,2016,01,5364,16.9649515287099
Central Mediterranean,2016-02,2,7,0,7,3828,2016,02,3835,1.82529335071708
Central Mediterranean,2016-03,10,80,178,258,9676,2016,03,9934,25.9714113146769
Central Mediterranean,2016-04,7,17,594,611,9149,2016,04,9760,62.6024590163934
Central Mediterranean,2016-05,13,64,1066,1130,19957,2016,05,21087,53.5875183762508
Central Mediterranean,2016-06,10,42,346,388,22339,2016,06,22727,17.0722048664584
Central Mediterranean,2016-07,9,184,24,208,23552,2016,07,23760,8.75420875420875
Central Mediterranean,2016-08,9,38,2,40,21294,2016,08,21334,1.874941408081
Central Mediterranean,2016-09,12,257,84,341,16975,2016,09,17316,19.6927696927697
Central Mediterranean,2016-10,25,261,170,431,27384,2016,10,27815,15.4952363832465
Central Mediterranean,2016-11,15,61,642,703,13581,2016,11,14284,49.215905908709
Central Mediterranean,2016-12,22,107,267,374,8428,2016,12,8802,42.49034310384
Central Mediterranean,2017-01,13,50,175,225,4467,2017,01,4692,47.9539641943734
Central Mediterranean,2017-02,7,96,121,217,8972,2017,02,9189,23.615192077484
Central Mediterranean,2017-03,22,50,250,300,10853,2017,03,11153,26.8985923070026
Central Mediterranean,2017-04,17,64,216,280,12943,2017,04,13223,21.1752249867655
Central Mediterranean,2017-05,26,123,498,621,22993,2017,05,23614,26.2979588379775
Central Mediterranean,2017-06,42,174,355,529,23524,2017,06,24053,21.9930985739825
Central Mediterranean,2017-07,7,30,38,68,11461,2017,07,11529,5.89816983259606
Central Mediterranean,2017-08,5,23,120,143,3914,2017,08,4057,35.2477199901405
Central Mediterranean,2017-09,5,13,90,103,6291,2017,09,6394,16.1088520487957
Central Mediterranean,2017-10,12,96,71,167,5979,2017,10,6146,27.1721444842174
Central Mediterranean,2017-11,9,74,119,193,5645,2017,11,5838,33.0592668722165
Central Mediterranean,2017-12,2,4,5,9,2327,2017,12,2336,3.8527397260274
Central Mediterranean,2018-01,7,17,198,215,4183,2018,01,4398,48.8858572078217
Central Mediterranean,2018-02,6,35,86,121,1065,2018,02,1186,102.023608768971
Central Mediterranean,2018-03,3,2,21,23,1051,2018,03,1074,21.415270018622
Central Mediterranean,2018-04,4,20,0,20,3171,2018,04,3191,6.26762770291445
Central Mediterranean,2018-05,5,4,8,12,3964,2018,05,3976,3.01810865191147
Central Mediterranean,2018-06,18,139,427,566,3386,2018,06,3952,143.218623481781
Central Mediterranean,2018-07,9,26,131,157,1997,2018,07,2154,72.8876508820799
Central Mediterranean,2018-08,3,19,0,19,1980,2018,08,1999,9.50475237618809
Central Mediterranean,2018-09,1,2,128,130,1005,2018,09,1135,114.537444933921
Central Mediterranean,2018-10,2,1,6,7,1262,2018,10,1269,5.51615445232467
Central Mediterranean,2018-11,6,7,18,25,1129,2018,11,1154,21.6637781629116
Central Mediterranean,2018-12,4,24,3,27,622,2018,12,649,41.6024653312789
Central Mediterranean,2019-01,8,26,118,144,252,2019,01,396,363.636363636364
Central Mediterranean,2019-02,4,6,0,6,60,2019,02,66,90.9090909090909
Central Mediterranean,2019-03,5,7,49,56,450,2019,03,506,110.671936758893
Central Mediterranean,2019-04,2,0,51,51,319,2019,04,370,137.837837837838
Central Mediterranean,2019-05,2,3,61,64,1158,2019,05,1222,52.3731587561375
Central Mediterranean,2019-06,1,2,20,22,1817,2019,06,1839,11.963023382273
Central Mediterranean,2019-07,2,152,81,233,1395,2019,07,1628,143.120393120393
Central Mediterranean,2019-08,7,15,52,67,1930,2019,08,1997,33.5503254882324
Central Mediterranean,2019-09,5,5,12,17,2991,2019,09,3008,5.65159574468085
Central Mediterranean,2019-10,2,13,19,32,2016,2019,10,2048,15.625
Central Mediterranean,2019-11,0,0,0,0,915,2019,11,915,0
Eastern Mediterranean,2014-01,1,12,0,12,955,2014,01,967,12.4095139607032
Eastern Mediterranean,2014-02,0,0,0,0,1001,2014,02,1001,0
Eastern Mediterranean,2014-03,1,7,2,9,1501,2014,03,1510,5.96026490066225
Eastern Mediterranean,2014-04,0,0,0,0,1257,2014,04,1257,0
Eastern Mediterranean,2014-05,0,0,0,0,1703,2014,05,1703,0
Eastern Mediterranean,2014-06,0,0,0,0,3198,2014,06,3198,0
Eastern Mediterranean,2014-07,1,4,21,25,3927,2014,07,3952,6.32591093117409
Eastern Mediterranean,2014-08,0,0,0,0,6742,2014,08,6742,0
Eastern Mediterranean,2014-09,0,0,0,0,7454,2014,09,7454,0
Eastern Mediterranean,2014-10,0,0,0,0,7432,2014,10,7432,0
Eastern Mediterranean,2014-11,1,0,4,4,3812,2014,11,3816,1.0482180293501
Eastern Mediterranean,2014-12,1,0,9,9,2056,2014,12,2065,4.35835351089588
Eastern Mediterranean,2015-01,1,1,0,1,1694,2015,01,1695,0.589970501474926
Eastern Mediterranean,2015-02,1,7,2,9,2873,2015,02,2882,3.12283136710618
Eastern Mediterranean,2015-03,1,5,3,8,7874,2015,03,7882,1.01497081958894
Eastern Mediterranean,2015-04,3,10,4,14,13556,2015,04,13570,1.03168754605748
Eastern Mediterranean,2015-05,0,0,0,0,17889,2015,05,17889,0
Eastern Mediterranean,2015-06,1,6,0,6,31318,2015,06,31324,0.191546418081982
Eastern Mediterranean,2015-07,2,9,15,24,54899,2015,07,54923,0.436975401926333
Eastern Mediterranean,2015-08,9,25,4,29,107843,2015,08,107872,0.268837140314447
Eastern Mediterranean,2015-09,23,113,77,190,147123,2015,09,147313,1.28977076021804
Eastern Mediterranean,2015-10,36,172,48,220,211663,2015,10,211883,1.03830887801287
Eastern Mediterranean,2015-11,19,79,19,98,151249,2015,11,151347,0.647518616160215
Eastern Mediterranean,2015-12,37,145,61,206,108742,2015,12,108948,1.89081029481955
Eastern Mediterranean,2016-01,33,221,54,275,67415,2016,01,67690,4.06263849903974
Eastern Mediterranean,2016-02,3,37,9,46,57066,2016,02,57112,0.805434934864827
Eastern Mediterranean,2016-03,6,35,10,45,26974,2016,03,27019,1.66549465191162
Eastern Mediterranean,2016-04,2,6,4,10,3654,2016,04,3664,2.7292576419214
Eastern Mediterranean,2016-05,0,0,0,0,1726,2016,05,1726,0
Eastern Mediterranean,2016-06,0,0,0,0,1554,2016,06,1554,0
Eastern Mediterranean,2016-07,1,4,3,7,1920,2016,07,1927,3.63258951738454
Eastern Mediterranean,2016-08,1,1,2,3,3447,2016,08,3450,0.869565217391305
Eastern Mediterranean,2016-09,1,7,20,27,3135,2016,09,3162,8.53889943074004
